time,signal
0,0
0.1,0.207031
0.2,0.40625
0.3,0.585938
0.4,0.742188
0.5,0.867188
0.6,0.949219
0.7,0.996094
0.8,0.996094
0.9,0.949219
1,0.867188
1.1,0.742188
1.2,0.585938
1.3,0.40625
1.4,0.207031
1.5,0
1.6,-0.207031
1.7,-0.40625
1.8,-0.585938
1.9,-0.742188
2,-0.867188
2.1,-0.949219
2.2,-0.996094
2.3,-0.996094
2.4,-0.949219
2.5,-0.867188
2.6,-0.742188
2.7,-0.589844
2.8,-0.40625
2.9,-0.207031
3,-0
3.1,0.207031
3.2,0.40625
3.3,0.585938
3.4,0.742188
3.5,0.867188
3.6,0.949219
3.7,0.996094
3.8,0.996094
3.9,0.949219
4,0.867188
4.1,0.742188
4.2,0.589844
4.3,0.40625
4.4,0.207031
4.5,0
4.6,-0.207031
4.7,-0.40625
4.8,-0.585938
4.9,-0.742188
